code,goal_description,level,competency,topic
INQ_01.1,Explain how the cells work,Low,Use of Scienctific Knowlege,The building blocks of life: Cells
EXP_01.1,Recognize different organs in the human body,Low,Inquiry,The building blocks of life - Organs
